id,operator,lat,lon,wheelchair,opening_hours,position_level,surveillance,brand_wikidata,email,atm_count,description,website
25508366,,48.953776,8.508764999999999,yes,,,,,,,,
25642694,Sparkasse,48.988768,8.382686,,24/7,,,,,,,https://www.sparkasse-karlsruhe.de
26005533,Volksbank,49.004055,8.333229,yes,24/7,,,,,,,
26084502,Sparkasse,49.049755,8.378989,,24/7,,,,,,,https://www.sparkasse-karlsruhe.de
26084513,,49.049078,8.380313000000001,,,,,,,,,
27489416,Volksbank,52.984866,8.878561,limited,,,,,,,,
27560516,Volksbank,49.030833,8.367033000000001,,24/7,,,,,,,
28212676,Sparkasse,50.167023,8.67954,yes,,,,,,,,
29078887,Postbank,50.585801,8.675619000000001,limited,,1.0,,,,,,
29093438,Sparkasse,50.577485,8.681894,no,24/7,,,,,,,
29093606,Sparkasse,50.586204,8.674699,yes,,,,,,,,
29685788,Rabobank Assen-Beilen,53.017263,6.586189,,,,,,,,,
29685789,ING,53.01720400000001,6.5850789999999995,,,,,,,,,
29908343,Sparkasse,48.912861,8.432882000000001,,24/7,,,,,,,https://www.sparkasse-karlsruhe.de
30010976,SKB,47.699995,8.626022,limited,,,,,,,,
30023109,Volksbank,48.997468,8.404516000000001,yes,,,indoor,,,,,
30030271,Volksbank,49.001388,8.406899000000001,no,24/7,,,,,,,
30206050,,49.634042,8.357502,,,,,,,,,
30560748,,49.520426,8.499127,,,,,,,,,
30912010,ING,51.501555,7.258457000000001,yes,24/7,,,,,,,
31447262,Sparkasse,47.973906,7.8282669999999985,yes,24/7,,,,,,,
31450833,Volksbank,49.871685,8.788072999999999,yes,24/7,,,,,,,
32532779,Sparkasse,50.601185,8.687203,limited,,,,,,,,
32963089,Volksbank,50.621674,8.658425,yes,,,,,,,,
33005376,Volksbank,51.31239,9.464739999999999,yes,,,,,,,,
34823827,Sparkasse,48.926173,8.388645,limited,24/7,,,,,,,https://www.sparkasse-karlsruhe.de
36161742,Sparkasse,48.78267,8.1925,yes,Mo-Sa 09:00-20:00,,,,,,,
36743018,,49.636479,8.362969999999999,,,,,,,,,
45342449,Sparkasse,51.655132,6.442206,,Mo-Su 05:30-00:00,,,,,,,
59642248,,50.938474,6.684883999999999,yes,,,,,,,,
59642249,Volksbank,50.940582,6.682774,no,,,,,,,,
59915750,Rabobank Dommelstreek,51.474073,5.547934,,,,,,,,,
59915751,ABN AMRO,51.475564,5.549778,,,,,,,,,
60030907,Bank Cler,47.413665,8.540929,,Mo-Sa 08:00-21:00,,,,,,,
60201952,"Rabobank Peel, Maas en Leudal",51.32034,5.9984730000000015,,,,,,,,,
60673980,Schaffhauser Kantonalbank,47.659505,8.859539,yes,,,,,,,,
60696427,Sparkasse,49.097529,8.397146000000001,no,24/7,,,,,,,https://www.sparkasse-karlsruhe.de
60857931,Sparkasse,51.21452,6.7769210000000015,yes,,,,,,,,https://www.sskduesseldorf.de/
68992174,Sparkasse,47.6576,9.456157000000001,yes,,,,,,,,
76471927,KSK Heinsberg,51.144193,6.283136,,,,,,,,,
76908147,BBBank,49.128918,8.417527999999999,yes,,,,,,,,
81751113,Postbank,49.793229,9.933464,yes,,,,,,,,
84490827,Postbank,49.801698,9.933521,limited,,,,,,,,
86035997,Kantonalbank,47.024202,8.296187,,,,,,,,,
89266716,,47.182673,7.981496000000001,yes,,,,,,,,
94053556,Sparkasse,48.512979,9.069878,yes,,,,,,,,
95140543,Sparkasse,48.514485,9.066634,yes,Mo-Fr 07:00-22:00; Sa 07:00-22:00,,,,,,,
97995355,Glarner Kantonalbank,47.099062,9.070107,,,,,,,,,
107316730,Volksbank,48.805075,9.322714999999999,limited,,,,,,,,
107658478,ABN,52.199311,5.965898,,,,,,,,,
107658500,Rabobank Apeldoorn en Omgeving,52.215216,5.9648010000000005,yes,,,,,,,,
109867431,Volksbank,48.761765,8.239861999999999,yes,,,,,,,,
122383105,,48.575717,8.169958,yes,,,,,,,,
132558035,Rabobank Dommel en Aa,51.587419,5.335185,,,,,,,,,
132757511,,47.506025,8.541957,,,,,,,,,
145659150,Commerzbank,50.008418,8.285309,yes,"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; PH off",,,,,,,
